# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,39.776634216308594,1575420000,1
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,27.057228088378906,1176450000,1
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,56.43193817138672,1602000000,3
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,39.776634216308594,1575420000,6
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,27.057228088378906,1176450000,6
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,63.367698669433594,1561096000,5
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,39.776634216308594,1575420000,5
Agc,1725970909620,4105000000,,,-1410006123515000467,0.0,200000422.815,,,9,27.057228088378906,1176450000,5
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,39.776634216308594,1575420000,1
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,28.13314437866211,1176450000,1
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,59.924476623535156,1602000000,3
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,39.776634216308594,1575420000,6
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,28.13314437866211,1176450000,6
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,62.452545166015625,1561096000,5
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,39.776634216308594,1575420000,5
Agc,1725970910599,5105000000,,,-1410006123494723214,0.0,1011000.0,,,9,28.13314437866211,1176450000,5
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,38.83158493041992,1575420000,1
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,26.67449951171875,1176450000,1
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,61.720664978027344,1602000000,3
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,38.83158493041992,1575420000,6
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,26.67449951171875,1176450000,6
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,61.52764129638672,1561096000,5
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,38.83158493041992,1575420000,5
Agc,1725970911599,6105000000,,,-1410006123494723327,0.0,13.935237363074853,,,9,26.67449951171875,1176450000,5
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,37.883094787597656,1575420000,1
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,28.704256057739258,1176450000,1
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,60.381736755371094,1602000000,3
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,37.883094787597656,1575420000,6
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,28.704256057739258,1176450000,6
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,62.62626647949219,1561096000,5
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,37.883094787597656,1575420000,5
Agc,1725970912599,7105000000,,,-1410006123494723439,0.0,10.840784581934596,,,9,28.704256057739258,1176450000,5
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,41.4049186706543,1575420000,1
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,27.962825775146484,1176450000,1
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,61.12821960449219,1602000000,3
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,41.4049186706543,1575420000,6
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,27.962825775146484,1176450000,6
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,61.52764129638672,1561096000,5
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,41.4049186706543,1575420000,5
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,27.962825775146484,1176450000,5
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,36.29946517944336,1575420000,1
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,26.864200592041016,1176450000,1
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,60.49237823486328,1602000000,3
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,36.29946517944336,1575420000,6
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,26.864200592041016,1176450000,6
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,60.381736755371094,1561096000,5
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,36.29946517944336,1575420000,5
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,26.864200592041016,1176450000,5
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,38.210899353027344,1575420000,1
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,29.240116119384766,1176450000,1
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,57.503597259521484,1602000000,3
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,38.210899353027344,1575420000,6
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,29.240116119384766,1176450000,6
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,60.70954132080078,1561096000,5
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,38.210899353027344,1575420000,5
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,29.240116119384766,1176450000,5

