timestamp,constellation,AGC,SNR,latitude,longitude,height
1725970911064.0,BeiDou,,70.0,69.212375,15.858584,11.8
1725970911064.0,GLONASS,59.924476623535156,66.0,69.212375,15.858584,11.8
1725970911064.0,GPS,39.776634216308594,70.0,69.212375,15.858584,11.8
1725970911065.0,Galileo,39.776634216308594,58.0,69.212375,15.858584,11.8
1725970912128.0,BeiDou,,70.0,69.212369,15.858604,11.9
1725970912128.0,GLONASS,60.381736755371094,66.0,69.212369,15.858604,11.9
1725970912128.0,GPS,37.883094787597656,70.0,69.212369,15.858604,11.9
1725970912128.0,Galileo,37.883094787597656,58.0,69.212369,15.858604,11.9
1725970913130.0,BeiDou,,66.0,69.212368,15.858616,11.9
1725970913130.0,GLONASS,61.12821960449219,47.25,69.212368,15.858616,11.9
1725970913130.0,GPS,41.4049186706543,62.25,69.212368,15.858616,11.9
1725970913130.0,Galileo,41.4049186706543,58.0,69.212368,15.858616,11.9
1725970913130.0,QZSS,61.52764129638672,48.0,69.212368,15.858616,11.9
1725970914136.0,BeiDou,,66.0,69.212368,15.858616,11.9
1725970914136.0,GLONASS,60.49237823486328,58.666666666666664,69.212368,15.858616,11.9
1725970914136.0,GPS,36.29946517944336,62.25,69.212368,15.858616,11.9
1725970914136.0,Galileo,36.29946517944336,58.0,69.212368,15.858616,11.9
1725970914136.0,QZSS,60.381736755371094,48.0,69.212368,15.858616,11.9
1725970915541.0,GPS,38.210899353027344,70.0,69.212367,15.858615,11.9
